code	naicsName	shortName
4841	General Freight Trucking	GeneralFreight
4842	Specialized Freight Trucking	SpecializedFreight
4851	Urban Transit Systems	UrbanTransit
4852	Interurban and Rural Bus Transportation	InterurbanRural
4853	Taxi and Limousine Service	TaxiLimousine
4854	School and Employee Bus Transportation	SchoolEmployee
4855	Charter Bus Industry	CharterBus
4859	Other Transit and Ground Passenger Transportation	TransitGround
4861	Pipeline Transportation of Crude Oil	PipelineTransportation
4862	Pipeline Transportation of Natural Gas	PipelineTransportation
4869	Other Pipeline Transportation	PipelineTransportation
4871	Scenic and Sightseeing Transportation, Land	ScenicSightseeing
4872	Scenic and Sightseeing Transportation, Water	ScenicSightseeing
4879	Scenic and Sightseeing Transportation, Other	ScenicSightseeing
4881	Support Activities for Air Transportation	SupportActivities
4882	Support Activities for Rail Transportation	SupportActivities
4883	Support Activities for Water Transportation	SupportActivities
4884	Support Activities for Road Transportation	SupportActivities
4885	Freight Transportation Arrangement	FreightTransportation
4889	Other Support Activities for Transportation	SupportActivities
4911	Postal Service	Postal
4921	Couriers and Express Delivery Services	CouriersExpress
4922	Local Messengers and Local Delivery	LocalMessengers
4931	Warehousing and Storage	WarehousingStorage
5121	Motion Picture and Video Industries	MotionPicture
5122	Sound Recording Industries	SoundRecording
5131	Newspaper, Periodical, Book, and Directory Publishers	Newspaper
5132	Software Publishers	SoftwarePublishers
5161	Radio and Television Broadcasting Stations	RadioTelevision
5162	Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers	MediaStreaming
5171	Wired and Wireless Telecommunications (except Satellite)	WiredWireless
5174	Satellite Telecommunications	SatelliteTelecommunications
5178	All Other Telecommunications	Telecommunications
5182	Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services	ComputingInfrastructure
5192	Web Search Portals, Libraries, Archives, and Other Information Services	WebSearch
5211	Monetary Authorities-Central Bank	MonetaryAuthorities-Central
5221	Depository Credit Intermediation	DepositoryCredit
5222	Nondepository Credit Intermediation	NondepositoryCredit
5223	Activities Related to Credit Intermediation	ActivitiesRelated
5231	Securities and Commodity Contracts Intermediation and Brokerage	SecuritiesCommodity
5232	Securities and Commodity Exchanges	SecuritiesCommodity
5239	Other Financial Investment Activities	FinancialInvestment
5241	Insurance Carriers	Insurance
5242	Agencies, Brokerages, and Other Insurance Related Activities	Agencies
5251	Insurance and Employee Benefit Funds	InsuranceEmployee
5259	Other Investment Pools and Funds	InvestmentPools
5311	Lessors of Real Estate	LessorsReal
5312	Offices of Real Estate Agents and Brokers	RealEstate
5313	Activities Related to Real Estate	ActivitiesRelated
5321	Automotive Equipment Rental and Leasing	AutomotiveEquipment
5322	Consumer Goods Rental	ConsumerGoods
5323	General Rental Centers	GeneralRental
5324	Commercial and Industrial Machinery and Equipment Rental and Leasing	CommercialIndustrial
5331	Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)	LessorsNonfinancial
5411	Legal Services	Legal
5412	Accounting, Tax Preparation, Bookkeeping, and Payroll Services	Accounting
5413	Architectural, Engineering, and Related Services	Architectural
5414	Specialized Design Services	SpecializedDesign
5415	Computer Systems Design and Related Services	ComputerSystems
5416	Management, Scientific, and Technical Consulting Services	Management
5417	Scientific Research and Development Services	ScientificResearch
5418	Advertising, Public Relations, and Related Services	Advertising
5419	Other Professional, Scientific, and Technical Services	Professional
5511	Management of Companies and Enterprises	ManagementCompanies
5611	Office Administrative Services	OfficeAdministrative
5612	Facilities Support Services	FacilitiesSupport
5613	Employment Services	Employment
5614	Business Support Services	BusinessSupport
5615	Travel Arrangement and Reservation Services	TravelArrangement
5616	Investigation and Security Services	InvestigationSecurity
5617	Services to Buildings and Dwellings	ServicesBuildings
5619	Other Support Services	Support
5621	Waste Collection	WasteCollection
5622	Waste Treatment and Disposal	WasteTreatment
5629	Remediation and Other Waste Management Services	Remediation
6111	Elementary and Secondary Schools	ElementarySecondary
6112	Junior Colleges	JuniorColleges
6113	Colleges, Universities, and Professional Schools	Colleges
6114	Business Schools and Computer and Management Training	BusinessSchools
6115	Technical and Trade Schools	TechnicalTrade
6116	Other Schools and Instruction	SchoolsInstruction
6117	Educational Support Services	EducationalSupport
6211	Offices of Physicians	Physicians
6212	Offices of Dentists	Dentists
6213	Offices of Other Health Practitioners	HealthPractitioners
6214	Outpatient Care Centers	OutpatientCare
6215	Medical and Diagnostic Laboratories	MedicalDiagnostic
6216	Home Health Care Services	HomeHealth
6219	Other Ambulatory Health Care Services	AmbulatoryHealth
6221	General Medical and Surgical Hospitals	GeneralMedical
6222	Psychiatric and Substance Abuse Hospitals	PsychiatricSubstance
6223	Specialty (except Psychiatric and Substance Abuse) Hospitals	SpecialtyHospitals
6231	Nursing Care Facilities (Skilled Nursing Facilities)	NursingCare
6232	Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities	ResidentialIntellectual
6233	Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly	ContinuingCare
6239	Other Residential Care Facilities	ResidentialCare
6241	Individual and Family Services	IndividualFamily
6242	Community Food and Housing, and Emergency and Other Relief Services	CommunityFood
6243	Vocational Rehabilitation Services	VocationalRehabilitation
6244	Child Care Services	ChildCare
7111	Performing Arts Companies	PerformingArts
7112	Spectator Sports	SpectatorSports
7113	Promoters of Performing Arts, Sports, and Similar Events	PromotersPerforming
7114	Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures	AgentsManagers
7115	Independent Artists, Writers, and Performers	IndependentArtists
7121	Museums, Historical Sites, and Similar Institutions	Museums
7131	Amusement Parks and Arcades	AmusementParks
7132	Gambling Industries	GamblingIndustries
7139	Other Amusement and Recreation Industries	AmusementRecreation
7211	Traveler Accommodation	TravelerAccommodation
7212	RV (Recreational Vehicle) Parks and Recreational Camps	RVParks
7213	Rooming and Boarding Houses, Dormitories, and Workers' Camps	RoomingBoarding
7223	Special Food Services	SpecialFood
7224	Drinking Places (Alcoholic Beverages)	DrinkingPlaces
7225	Restaurants and Other Eating Places	Restaurants
8111	Automotive Repair and Maintenance	AutomotiveRepair
8112	Electronic and Precision Equipment Repair and Maintenance	ElectronicPrecision
8113	Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance	CommercialIndustrial
8114	Personal and Household Goods Repair and Maintenance	PersonalHousehold
8121	Personal Care Services	PersonalCare
8122	Death Care Services	DeathCare
8123	Drycleaning and Laundry Services	DrycleaningLaundry
8129	Other Personal Services	Personal
8131	Religious Organizations	ReligiousOrganizations
8132	Grantmaking and Giving Services	GrantmakingGiving
8133	Social Advocacy Organizations	SocialAdvocacy
8134	Civic and Social Organizations	CivicSocial
