code	name	shortFileName	action	object
311411	Frozen Fruit, Juice, and Vegetable Manufacturing	FrozenFruit	Preserve	Frozen Fruit
311412	Frozen Specialty Food Manufacturing	FrozenSpecialty	Preserve	Frozen Specialty
311421	Fruit and Vegetable Canning	FruitVegetable	Preserve	Fruit Vegetable
311422	Specialty Canning	SpecialtyCanning	Preserve	Specialty Canning
311423	Dried and Dehydrated Food Manufacturing	DriedDehydrated	Preserve	Dried Dehydrated
311511	Fluid Milk Manufacturing	FluidMilk	Process	Fluid Milk
311512	Creamery Butter Manufacturing	CreameryButter	Process	Creamery Butter
311513	Cheese Manufacturing	Cheese	Process	Cheese
311514	Dry, Condensed, and Evaporated Dairy Product Manufacturing	Dry	Process	Dry
311520	Ice Cream and Frozen Dessert Manufacturing	IceCream	Process	Ice Cream
311611	Animal (except Poultry) Slaughtering	AnimalSlaughtering	Process	Animal Slaughtering
311612	Meat Processed from Carcasses	MeatProcessed	Process	Meat Processed
311613	Rendering and Meat Byproduct Processing	RenderingMeat	Process	Rendering Meat
311615	Poultry Processing	PoultryProcessing	Process	Poultry Processing
311710	Seafood Product Preparation and Packaging	SeafoodProduct	Process	Seafood Product
311811	Retail Bakeries	RetailBakeries	Bake	Retail Bakeries
311812	Commercial Bakeries	CommercialBakeries	Bake	Commercial Bakeries
311813	Frozen Cakes, Pies, and Other Pastries Manufacturing	FrozenCakes	Bake	Frozen Cakes
311821	Cookie and Cracker Manufacturing	CookieCracker	Bake	Cookie Cracker
311824	Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour	DryPasta	Bake	Dry Pasta
311830	Tortilla Manufacturing	Tortilla	Bake	Tortilla
311911	Roasted Nuts and Peanut Butter Manufacturing	RoastedNuts	Manufacture	Roasted Nuts
311919	Other Snack Food Manufacturing	SnackFood	Manufacture	Snack Food
311920	Coffee and Tea Manufacturing	CoffeeTea	Manufacture	Coffee Tea
311930	Flavoring Syrup and Concentrate Manufacturing	FlavoringSyrup	Manufacture	Flavoring Syrup
311941	Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing	Mayonnaise	Manufacture	Mayonnaise
311942	Spice and Extract Manufacturing	SpiceExtract	Manufacture	Spice Extract
311991	Perishable Prepared Food Manufacturing	PerishablePrepared	Manufacture	Perishable Prepared
311999	All Other Miscellaneous Food Manufacturing	Food	Manufacture	Food
312111	Soft Drink Manufacturing	SoftDrink	Brew	Soft Drink
312112	Bottled Water Manufacturing	BottledWater	Brew	Bottled Water
312113	Ice Manufacturing	Ice	Brew	Ice
312120	Breweries	Breweries	Brew	Breweries
312130	Wineries	Wineries	Brew	Wineries
312140	Distilleries	Distilleries	Brew	Distilleries
312230	Tobacco Manufacturing	Tobacco	Manufacture	Tobacco
313110	Fiber, Yarn, and Thread Mills	Fiber	Mill	Fiber
313210	Broadwoven Fabric Mills	BroadwovenFabric	Weave	Broadwoven Fabric
313220	Narrow Fabric Mills and Schiffli Machine Embroidery	NarrowFabric	Weave	Narrow Fabric
313230	Nonwoven Fabric Mills	NonwovenFabric	Weave	Nonwoven Fabric
313240	Knit Fabric Mills	KnitFabric	Weave	Knit Fabric
313310	Textile and Fabric Finishing Mills	TextileFabric	Finish	Textile Fabric
313320	Fabric Coating Mills	FabricCoating	Finish	Fabric Coating
314110	Carpet and Rug Mills	CarpetRug	Mill	Carpet Rug
314120	Curtain and Linen Mills	CurtainLinen	Mill	Curtain Linen
314910	Textile Bag and Canvas Mills	TextileBag	Mill	Textile Bag
314994	Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills	Rope	Mill	Rope
314999	All Other Miscellaneous Textile Product Mills	TextileProduct	Mill	Textile Product
315120	Apparel Knitting Mills	ApparelKnitting	Knit	Apparel Knitting
315210	Cut and Sew Apparel Contractors	CutSew	Manufacture	Cut Sew
315250	Cut and Sew Apparel Manufacturing (except Contractors)	CutSew	Manufacture	Cut Sew
315990	Apparel Accessories and Other Apparel Manufacturing	ApparelAccessories	Manufacture	Apparel Accessories
316110	Leather and Hide Tanning and Finishing	LeatherHide	Tan	Leather Hide
316210	Footwear Manufacturing	Footwear	Manufacture	Footwear
316990	Other Leather and Allied Product Manufacturing	LeatherAllied	Manufacture	Leather Allied
321113	Sawmills	Sawmills	Mill	Sawmills
321114	Wood Preservation	WoodPreservation	Mill	Wood Preservation
321211	Hardwood Veneer and Plywood Manufacturing	HardwoodVeneer	Manufacture	Hardwood Veneer
321212	Softwood Veneer and Plywood Manufacturing	SoftwoodVeneer	Manufacture	Softwood Veneer
321215	Engineered Wood Member Manufacturing	EngineeredWood	Manufacture	Engineered Wood
321219	Reconstituted Wood Product Manufacturing	ReconstitutedWood	Manufacture	Reconstituted Wood
321911	Wood Window and Door Manufacturing	WoodWindow	Manufacture	Wood Window
321912	Cut Stock, Resawing Lumber, and Planing	CutStock	Manufacture	Cut Stock
321918	Other Millwork (including Flooring)	Millwork	Manufacture	Millwork
321920	Wood Container and Pallet Manufacturing	WoodContainer	Manufacture	Wood Container
321991	Manufactured Home (Mobile Home) Manufacturing	ManufacturedHome	Manufacture	Manufactured Home
321992	Prefabricated Wood Building Manufacturing	PrefabricatedWood	Manufacture	Prefabricated Wood
321999	All Other Miscellaneous Wood Product Manufacturing	WoodProduct	Manufacture	Wood Product
322110	Pulp Mills	PulpMills	Mill	Pulp Mills
322120	Paper Mills	PaperMills	Mill	Paper Mills
322130	Paperboard Mills	PaperboardMills	Mill	Paperboard Mills
322211	Corrugated and Solid Fiber Box Manufacturing	CorrugatedSolid	Manufacture	Corrugated Solid
322212	Folding Paperboard Box Manufacturing	FoldingPaperboard	Manufacture	Folding Paperboard
322219	Other Paperboard Container Manufacturing	PaperboardContainer	Manufacture	Paperboard Container
322220	Paper Bag and Coated and Treated Paper Manufacturing	PaperBag	Manufacture	Paper Bag
322230	Stationery Product Manufacturing	StationeryProduct	Manufacture	Stationery Product
322291	Sanitary Paper Product Manufacturing	SanitaryPaper	Manufacture	Sanitary Paper
322299	All Other Converted Paper Product Manufacturing	ConvertedPaper	Manufacture	Converted Paper
323111	Commercial Printing (except Screen and Books)	CommercialPrinting	Print	Commercial Printing
323113	Commercial Screen Printing	CommercialScreen	Print	Commercial Screen
323117	Books Printing	BooksPrinting	Print	Books Printing
323120	Support Activities for Printing	SupportActivities	Print	Support Activities
324110	Petroleum Refineries	PetroleumRefineries	Refine	Petroleum Refineries
324121	Asphalt Paving Mixture and Block Manufacturing	AsphaltPaving	Refine	Asphalt Paving
324122	Asphalt Shingle and Coating Materials Manufacturing	AsphaltShingle	Refine	Asphalt Shingle
324191	Petroleum Lubricating Oil and Grease Manufacturing	PetroleumLubricating	Refine	Petroleum Lubricating
324199	All Other Petroleum and Coal Products Manufacturing	PetroleumCoal	Refine	Petroleum Coal
325110	Petrochemical Manufacturing	Petrochemical	Manufacture	Petrochemical
325120	Industrial Gas Manufacturing	IndustrialGas	Manufacture	Industrial Gas
325130	Synthetic Dye and Pigment Manufacturing	SyntheticDye	Manufacture	Synthetic Dye
325180	Other Basic Inorganic Chemical Manufacturing	BasicInorganic	Manufacture	Basic Inorganic
325193	Ethyl Alcohol Manufacturing	EthylAlcohol	Manufacture	Ethyl Alcohol
325194	Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing	CyclicCrude	Manufacture	Cyclic Crude
325199	All Other Basic Organic Chemical Manufacturing	BasicOrganic	Manufacture	Basic Organic
325211	Plastics Material and Resin Manufacturing	PlasticsMaterial	Manufacture	Plastics Material
325212	Synthetic Rubber Manufacturing	SyntheticRubber	Manufacture	Synthetic Rubber
325220	Artificial and Synthetic Fibers and Filaments Manufacturing	ArtificialSynthetic	Manufacture	Artificial Synthetic
325311	Nitrogenous Fertilizer Manufacturing	NitrogenousFertilizer	Manufacture	Nitrogenous Fertilizer
325312	Phosphatic Fertilizer Manufacturing	PhosphaticFertilizer	Manufacture	Phosphatic Fertilizer
325314	Fertilizer (Mixing Only) Manufacturing	Fertilizer	Manufacture	Fertilizer
325315	Compost Manufacturing	Compost	Manufacture	Compost
325320	Pesticide and Other Agricultural Chemical Manufacturing	Pesticide	Manufacture	Pesticide
325411	Medicinal and Botanical Manufacturing	MedicinalBotanical	Manufacture	Medicinal Botanical
325412	Pharmaceutical Preparation Manufacturing	PharmaceuticalPreparation	Manufacture	Pharmaceutical Preparation
325413	In-Vitro Diagnostic Substance Manufacturing	In-VitroDiagnostic	Manufacture	In-Vitro Diagnostic
325414	Biological Product (except Diagnostic) Manufacturing	BiologicalProduct	Manufacture	Biological Product
325510	Paint and Coating Manufacturing	PaintCoating	Manufacture	Paint Coating
325520	Adhesive Manufacturing	Adhesive	Manufacture	Adhesive
325611	Soap and Other Detergent Manufacturing	Soap	Manufacture	Soap
325612	Polish and Other Sanitation Good Manufacturing	Polish	Manufacture	Polish
325613	Surface Active Agent Manufacturing	SurfaceActive	Manufacture	Surface Active
325620	Toilet Preparation Manufacturing	ToiletPreparation	Manufacture	Toilet Preparation
325910	Printing Ink Manufacturing	PrintingInk	Manufacture	Printing Ink
325920	Explosives Manufacturing	Explosives	Manufacture	Explosives
325991	Custom Compounding of Purchased Resins	CustomCompounding	Manufacture	Custom Compounding
325992	Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing	PhotographicFilm	Manufacture	Photographic Film
325998	All Other Miscellaneous Chemical Product and Preparation Manufacturing	ChemicalProduct	Manufacture	Chemical Product
326111	Plastics Bag and Pouch Manufacturing	PlasticsBag	Manufacture	Plastics Bag
326112	Plastics Packaging Film and Sheet (including Laminated) Manufacturing	PlasticsPackaging	Manufacture	Plastics Packaging
326113	Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing	UnlaminatedPlastics	Manufacture	Unlaminated Plastics
326121	Unlaminated Plastics Profile Shape Manufacturing	UnlaminatedPlastics	Manufacture	Unlaminated Plastics
326122	Plastics Pipe and Pipe Fitting Manufacturing	PlasticsPipe	Manufacture	Plastics Pipe
